validTime,temperature,wind_speed,precipitation,air_pressure,city
05-03 18:00,0.0,0.0,-9.0,5.5,trelleborg
05-03 19:00,0.0,0.0,-9.0,3.2,trelleborg
05-03 20:00,0.0,0.0,-9.0,1.8,trelleborg
05-03 21:00,0.0,0.0,-9.0,2.5,trelleborg
05-03 22:00,0.0,0.0,-9.0,2.5,trelleborg
05-03 23:00,0.0,0.0,-9.0,2.4,trelleborg
05-04 00:00,0.0,0.0,-9.0,2.7,trelleborg
05-04 01:00,0.0,0.0,-9.0,3.0,trelleborg
05-04 02:00,1.0,0.0,-9.0,3.2,trelleborg
05-04 03:00,2.0,0.0,-9.0,3.2,trelleborg
05-04 04:00,3.0,0.0,-9.0,3.0,trelleborg
05-04 05:00,2.0,0.0,-9.0,2.6,trelleborg
05-04 06:00,1.0,0.0,-9.0,3.1,trelleborg
05-04 07:00,2.0,0.0,-9.0,3.1,trelleborg
05-04 08:00,3.0,0.0,-9.0,4.5,trelleborg
05-04 09:00,4.0,0.0,-9.0,5.4,trelleborg
05-04 10:00,6.0,0.0,-9.0,8.5,trelleborg
05-04 11:00,7.0,0.0,-9.0,8.0,trelleborg
05-04 12:00,8.0,0.0,-9.0,9.3,trelleborg
05-04 18:00,0.0,0.0,-9.0,12.3,trelleborg
05-05 00:00,8.0,0.0,-9.0,12.4,trelleborg
05-05 06:00,8.0,0.0,-9.0,13.8,trelleborg
05-05 12:00,8.0,0.0,-9.0,18.0,trelleborg
05-05 18:00,8.0,0.0,-9.0,18.1,trelleborg
05-06 00:00,8.0,0.0,-9.0,16.4,trelleborg
05-06 06:00,8.0,0.0,-9.0,15.5,trelleborg
05-06 12:00,8.0,0.0,-9.0,16.6,trelleborg
05-06 18:00,8.0,0.0,0.0,14.1,trelleborg
05-07 00:00,3.0,0.0,-9.0,12.5,trelleborg
05-07 06:00,0.0,0.0,-9.0,9.3,trelleborg
05-07 12:00,4.0,0.0,-9.0,14.0,trelleborg
05-07 18:00,0.0,0.0,-9.0,14.2,trelleborg
05-08 00:00,1.0,0.0,-9.0,11.5,trelleborg
